id,airport_ref,ident,length_ft,width_ft,runway_count,max_runway
256957,6635,01WY,4360.0,75.0,2,4360.0
256958,6635,01WY,2600.0,65.0,2,4360.0
270898,46288,01XA,50.0,50.0,1,50.0
269424,6636,01XS,50.0,50.0,1,50.0
253115,6637,02AK,2200.0,45.0,1,2200.0
254694,6638,02AL,2000.0,150.0,1,2000.0
247597,43030,02AR,4400.0,45.0,1,4400.0
250723,6640,02AZ,4500.0,80.0,1,4500.0
265057,6641,02CA,55.0,55.0,1,55.0
252831,6642,02CD,2500.0,100.0,1,2500.0
249787,6643,02CL,3000.0,60.0,1,3000.0
255048,6644,02CO,2670.0,50.0,1,2670.0
265058,6645,02CT,50.0,50.0,1,50.0
246559,6646,02FA,2485.0,150.0,1,2485.0
341547,341544,02FD,3443.0,150.0,1,3443.0
264162,45347,02FL,1800.0,100.0,1,1800.0
255300,6648,02GA,1200.0,100.0,2,1500.0
255301,6648,02GA,1500.0,100.0,2,1500.0
256885,6649,02GE,3400.0,100.0,1,3400.0
265059,6650,02HI,100.0,100.0,1,100.0
265060,6651,02IA,50.0,50.0,1,50.0
252347,6652,02ID,2000.0,100.0,1,2000.0
250386,6653,02II,1100.0,100.0,1,1100.0
252716,6654,02IN,1020.0,150.0,1,1020.0
265061,6655,02IS,40.0,40.0,1,40.0
248000,6656,02KS,1650.0,100.0,2,1950.0
248001,6656,02KS,1950.0,150.0,2,1950.0
265062,6657,02KY,100.0,100.0,1,100.0
265063,6658,02LA,20.0,20.0,1,20.0
265064,6659,02LS,24.0,24.0,1,24.0
265065,6660,02MA,50.0,50.0,1,50.0
506080,322099,02MD,2000.0,75.0,1,2000.0
250960,6661,02ME,2400.0,60.0,1,2400.0
254744,6662,02MI,2000.0,100.0,1,2000.0
